code,title,points_r1_2021,points_r1_2020,points_r1_2019
DB527,Applied Social Care,254.0,234.0,288.0
DB531,Marketing,288.0,293.0,288.0
DB562,Psychology,244.0,243.0,310.0
DB566,Social Science,262.0,220.0,308.0
DB567,Film and Creative Media,245.0,218.0,295.0
DB568,Law,254.0,219.0,308.0
DB569,Business (Psychology),240.0,252.0,338.0
DC001,Education - Early Childhood Education,445.0,440.0,424.0
DC002,Education - Primary Teaching,,488.0,485.0
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,445.0,473.0
DC009,Arts (Joint Honours) - Humanities,356.0,376.0,408.0
DC010,Post Primary Teacher Education - Religious Educati,384.0,441.0,413.0
DC011,Post Primary Teacher Education - Religious Educati,409.0,412.0,389.0
DC012,Post Primary Teacher Education - Religious Educati,409.0,378.0,415.0
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,419.0,509.0
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,419.0,590.0
DC110,Business Studies International,498.0,465.0,462.0
DC111,Business Studies,511.0,488.0,479.0
DC112,Global Business (France),,517.0,510.0
DC113,Global Business (Germany),484.0,462.0,476.0
DC114,Global Business (Spain),544.0,522.0,543.0
DC115,Accounting and Finance,544.0,510.0,500.0
DC116,Global Business (USA),,579.0,589.0
DC117,Aviation Management / Aviation Management with Pil,484.0,476.0,487.0
DC118,Gná agus Gaeilge / Business and Irish,368.0,359.0,399.0
DC119,Global Business (Canada),601.0,564.0,577.0
DC120,Computing for Business,403.0,357.0,389.0
DC121,Computer Science,475.0,400.0,418.0
DC123,Data Science,501.0,465.0,511.0
DC126,Actuarial Mathematics,,560.0,543.0
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,532.0,531.0
DC131,Communication Studies,421.0,407.0,441.0
DC132,Journalism,452.0,429.0,440.0
DC133,Multimedia,435.0,411.0,451.0
DC155,Applied Language and Translation Studies,427.0,387.0,430.0
DC161,Analytical Science,498.0,498.0,463.0
DC162,Chemical and Pharmaceutical Sciences,,521.0,498.0
DC166,Environmental Science and Technology,,433.0,442.0
DC168,Genetics and Cell Biology,,512.0,500.0
DC181,Biotechnology,530.0,499.0,488.0
DC190,Electronic and Computer Engineering (with choice o,488.0,413.0,433.0
DC193,Mechatronic Engineering,490.0,411.0,445.0
DC195,Mechanical and Manufacturing Engineering,500.0,425.0,444.0
DC197,Biomedical Engineering,510.0,423.0,446.0
DC200,Common Entry into Engineering (Undenominated Entry,511.0,422.0,444.0
DC202,Sport Science and Health,511.0,500.0,476.0
DC203,Science Education,462.0,435.0,476.0
DC204,Athletic Therapy and Training,558.0,522.0,500.0
DC205,Physical Education with Biology,565.0,531.0,521.0
DC206,Physical Education with Mathematics,521.0,499.0,476.0
DC208,Psychology,565.0,532.0,521.0
DC209,Health and Society,477.0,465.0,440.0
DC215,General Nursing,,454.0,443.0
DC216,Mental Health Nursing,420.0,418.0,389.0
DC217,Intellectual Disability Nursing,382.0,370.0,362.0
DC218,Children`s and General Nursing (Integrated),,500.0,480.0
DC230,Economics  Politics and Law,431.0,435.0,431.0
DC231,International Relations,398.0,397.0,445.0
DC232,Law and Society (BCL),469.0,466.0,487.0
DC235,Education and Training - Daytime and Flexible Deli,302.0,309.0,327.0
DC238,Social Sciences and Cultural Innovation,387.0,377.0,388.0
DC240,Marketing  Innovation and Technology,499.0,476.0,474.0
DC291,Arts (Joint Honours) - Media Studies,350.0,376.0,392.0
DC292,Arts (Joint Honours) - Law,400.0,403.0,388.0
DC293,Arts (Joint Honours) - International Languages,379.0,377.0,400.0
DC295,Arts (Joint Honours) - Politics,349.0,376.0,387.0
DL822,Arts Management,254.0,229.0,319.0
DL823,Business Management,220.0,235.0,316.0
DL825,Applied Psychology,418.0,379.0,413.0
DL826,Graphic Design,591.0,855.0,989.0
DL827,Art,574.0,572.0,902.0
DL832,Animation,989.0,920.0,1055.0
DL833,Photography and Visual Media,671.0,650.0,791.0
DL836,Creative Computing,235.0,219.0,326.0
DL837,New Media Studies,298.0,201.0,349.0
DL838,Creative Music Production,713.0,754.0,873.0
GC200,Business,269.0,252.0,359.0
GC201,Accounting and Finance,260.0,303.0,388.0
GC230,Computing Science,300.0,335.0,327.0
GC300,Business,264.0,429.0,302.0
GC400,Business,250.0,248.0,297.0
GC401,Accounting and Finance,242.0,240.0,309.0
GC403,Law,245.0,244.0,308.0
GC407,Business (Marketing),264.0,280.0,330.0
GC430,Computing Science,251.0,252.0,269.0
GC450,Communications and Media Production,225.0,254.0,307.0
GC489,Interior Architecture (portfolio),288.0,254.0,361.0
AD101,First Year Art and Design (Common Entry portfolio),554.0,,550.0
AD102,Graphic Design and Moving Image Design (portfolio),538.0,,635.0
AD103,Textile and Surface Design and Jewellery and Objec,505.0,,545.0
AD202,Education and Design or Fine Art (Second Level Tea,591.0,,580.0
AD204,Fine Art (portfolio),514.0,,600.0
AD211,Fashion Design (portfolio),760.0,,600.0
AD212,Product Design (portfolio),413.0,,600.0
AD215,Visual Culture,337.0,377.0,338.0
AD217,Illustration (portfolio),738.0,,625.0
AD222,Interaction Design (portfolio),444.0,,657.0
NC003,Computing (Degree Award options),271.0,260.0,316.0
NC005,Human Resource Management,301.0,300.0,320.0
NC009,Business,300.0,300.0,339.0
NC010,Psychology,420.0,400.0,399.0
NC020,Marketing Practice,270.0,280.0,307.0
NC022,Accounting and Finance,330.0,337.0,376.0
NC023,Technology Management (with specialisations),266.0,261.0,303.0
RC001,Medicine - Undergraduate Entry (HPAT required),741.0,733.0,733.0
RC004,Physiotherapy,,566.0,542.0
RC005,Pharmacy,,579.0,566.0
TR002,Music,508.0,435.0,473.0
TR003,History,552.0,497.0,518.0
TR004,Law,,566.0,552.0
TR005,Philosophy,510.0,442.0,446.0
TR006,Psychology,,567.0,577.0
TR007,Clinical Speech and Language Studies,,529.0,529.0
TR009,Music Education,496.0,420.0,465.0
TR015,Philosophy  Political Science  Economics and Socio,,589.0,577.0
TR016,Deaf Studies,389.0,340.0,372.0
TR018,Law and French,,565.0,554.0
TR019,Law and German,577.0,543.0,555.0
TR021,Classics  Ancient History and Archaeology,467.0,370.0,495.0
TR022,Early and Modern Irish,377.0,398.0,407.0
TR023,English Studies,546.0,487.0,511.0
TR024,European Studies,566.0,544.0,544.0
TR025,Drama and Theatre Studies,543.0,564.0,531.0
TR028,Ancient and Medieval History and Culture,498.0,342.0,451.0
